id,IdDataset,NombreConjuntoDatos,UrlConexionAPI
107,8750f9,Generación Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=8750f9
108,6781a0,Generación Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=6781a0
109,8E7F3C,Generación ideal nacional por planta,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=8E7F3C
110,E055B4,Generación programada incluyendo autorización a desvío,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=E055B4
111,12c7fd,Generación Programada Redespacho por Planta,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=12c7fd
112,055A4D,Generación real,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=055A4D
113,E17D25,Generación Real y Programada en las Plantas de Generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=E17D25
114,30D865,Histórico anual de los precios de referencia para el traslado al Mercado Regulado,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=30D865
115,97c8ec,Histórico de eventos en Activos de Transmisión del Sistema de Transmisión Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=97c8ec
116,A2919B,Histórico de eventos en Líneas de Transmisión del Sistema de Transmisión Nacional,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=A2919B
117,F28855,Histórico de eventos en Unidades de Generación,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=F28855
118,bf41fe,Histórico Posición abierta por contrato II Open interest II,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=bf41fe
119,58a1b8,Horas de indisponibilidad de las líneas de transmisión nacional y regional del SIN,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=58a1b8
120,d4049a,Importaciones Netas Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=d4049a
121,1088a6,Importaciones Netas Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=1088a6
122,09a70a,Indices VERE y VEREC Energético Largo Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=09a70a
123,7a2e85,Indices VERE y VEREC Energético Mediano Plazo,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7a2e85
124,b9f2ec,Información de Transferencias Internacionales,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=b9f2ec
125,7f16cb,Información de Transferencias Internacionales,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7f16cb
126,531ba3,Informe anual de auditoría de costos de combustible para el cálculo del precio marginal de escasez,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=531ba3
127,9c7ac5,Informe Anual de Operadores de Red,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=9c7ac5
128,cdfe1b,Informe de reevaluación de parámetros de regulación secundaria de frecuencia AGC,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=cdfe1b
129,D0B4E3,Informe de resultados del despacho económico,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=D0B4E3
